Identificativo Titolo,Titolo,Natura,Genere 1,age_decade,n,grouped_rowid
746984,"2: *Storia del nuovo cognome : giovinezza / Elena Ferrante. - Roma : E/O, 2012. - 470 p. ; 21 cm",Monografia,NA,40,40,8
836554,"L'*Arminuta / Donatella Di Pietrantonio. - Torino : Einaudi, 2017. - 163 p. ; 23 cm",Monografia,NA,40,40,9
758709,"La *ragazza del treno / Paula Hawkins ; traduzione di Barbara Porteri. - Milano : Piemme, 2015. - 306 p. ; 24 cm",Monografia,NA,40,39,10
264611,"*Guizzino / Leo Lionni. - Milano : Babalibri, [2006]. - [29] p. : ill. ; 28 cm",Monografia,Letteratura per ragazzi,40,38,11
746986,"3: *Storia di chi fugge e di chi resta : *tempo di mezzo / Elena Ferrante. - Roma : E/O, 2013. - 382 p. ; 21 cm.",Monografia,NA,40,38,12
178824,"*Sono io il piu forte! / Mario Ramos. - Milano : Babalibri, [2002]. - [13] c. : ill. ; 25 cm. ((Trad. di Federica Rocca.",Monografia,Letteratura per ragazzi,40,36,13
863474,"*Macerie prime / Zerocalcare. - Ed. regular. - Milano : Bao, 2017. - 185 p. : fumetti ; 25 cm",Monografia,Letteratura per ragazzi,40,36,14
841203,"La *più amata : romanzo / Teresa Ciabatti. - Milano : Mondadori, 2017. - 218 p. ; 24 cm. ((A pagina IV di copertina: eBook disponibile",Monografia,NA,40,35,15
102062,"Un *colore tutto mio / Leo Lionni. - Milano : Babalibri, [2001]. - [28] p. : ill. ; 29 cm",Monografia,Letteratura per ragazzi,40,34,16
186412,"Una *casetta troppo stretta / scritto da Julia Donaldson ; illustrato da Axel Scheffler. - San Dorligo della Valle : Emme, 2003. - [28] p. : in gran parte ill. ; 28 cm.",Monografia,Letteratura per ragazzi,40,34,17
824204,"Una *tigre all'ora del tè / Judith Kerr. - Milano : Mondadori, 2016. - 1 volume (senza paginazione) : ill. ; 29 cm. ((Traduzione di Augusto Macchetto. - Testo a grandi caratteri tipografici.",Monografia,Letteratura per ragazzi,40,32,18
870622,"*Resto qui / Marco Balzano. - Torino : Einaudi, 2018. - 184 p. ; 23 cm",Monografia,NA,40,32,19
649682,"*Lupo & Lupetto / Nadine Brun-Cosme, Olivier Tallec. - Firenze : Edizioni Clichy, 2013. - [32] p. : in gran parte ill. ; 31 cm. ((Traduzione di Tommaso Gurrieri.",Monografia,Letteratura per ragazzi,40,31,20
823950,"Le *otto montagne / Paolo Cognetti. - Torino : Einaudi, 2016. - 199 p. ; 22 cm.",Monografia,NA,50,99,1
867817,"Il *morso della reclusa / Fred Vargas ; traduzione di Margherita Botto. - Torino : Einaudi, 2018. - 432 p. ; 22 cm",Monografia,NA,50,82,2
746984,"2: *Storia del nuovo cognome : giovinezza / Elena Ferrante. - Roma : E/O, 2012. - 470 p. ; 21 cm",Monografia,NA,50,70,3
851209,"*Rondini d'inverno : sipario per il commissario Ricciardi / Maurizio De Giovanni. - Torino : Einaudi, 2017. - 356 p. ; 22 cm",Monografia,NA,50,68,4
870622,"*Resto qui / Marco Balzano. - Torino : Einaudi, 2018. - 184 p. ; 23 cm",Monografia,NA,50,67,5
874580,"1: L'*amica geniale : infanzia, adolescenza / Elena Ferrante. - Roma : E/O, 2011. - 327 p. ; 21 cm",Monografia,NA,50,64,6
746987,"4: *Storia della bambina perduta : maturità - vecchiaia / Elena Ferrante. - Roma : E/O, 2014. - 451 p. ; 21 cm",Monografia,NA,50,60,7
874363,"*Sara al tramonto / Maurizio de Giovanni. - Milano : Rizzoli, 2018. - 359 p. ; 22 cm",Monografia,NA,50,59,8
746986,"3: *Storia di chi fugge e di chi resta : *tempo di mezzo / Elena Ferrante. - Roma : E/O, 2013. - 382 p. ; 21 cm.",Monografia,NA,50,58,9
836554,"L'*Arminuta / Donatella Di Pietrantonio. - Torino : Einaudi, 2017. - 163 p. ; 23 cm",Monografia,NA,50,58,10
866415,"La *ragazza con la Leica : romanzo / Helena Janeczek. - Milano : Guanda, 2017. - 333 p. : ill. ; 22 cm",Monografia,NA,50,58,11
864821,"*Souvenir : per i Bastardi di Pizzofalcone / Maurizio De Giovanni. - Torino : Einaudi, 2017. - 328 p. ; 22 cm",Monografia,NA,50,57,12
872054,"*Mio caro serial killer / Alicia Giménez-Bartlett ; traduzione di Maria Nicola. - Palermo : Sellerio, 2018. - 471 p. ; 17 cm.",Monografia,NA,50,56,13
842687,"I *guardiani / Maurizio De Giovanni. - [Milano] : Rizzoli, 2017. - 362 p. ; 24 cm",Monografia,NA,50,55,14
812200,"*Serenata senza nome : notturno per il commissario Ricciardi / Maurizio De Giovanni. - Torino : Einaudi, 2016. - 373 p. ; 22 cm.",Monografia,NA,50,54,15
824924,"*Pane : per i Bastardi di Pizzofalcone / Maurizio De Giovanni. - Torino : Einaudi, 2016. - 331 p. ; 22 cm",Monografia,NA,50,54,16
859858,"Le *tre del mattino / Gianrico Carofiglio. - Torino : Einaudi, 2017. - 165 p. ; 22 cm",Monografia,NA,50,54,17
854387,"*Pulvis et umbra / Antonio Manzini. - Palermo : Sellerio, 2017. - 403 p. ; 17 cm",Monografia,NA,50,50,18
813221,"*7-7-2007 / Antonio Manzini. - Palermo : Sellerio, 2016. - 369 p. ; 17 cm",Monografia,NA,50,49,19
865500,"L'*uomo del labirinto / romanzo di Donato Carrisi. - Milano : Longanesi, 2017. - 390 p. ; 24 cm",Monografia,NA,50,46,20
870622,"*Resto qui / Marco Balzano. - Torino : Einaudi, 2018. - 184 p. ; 23 cm",Monografia,NA,60,101,1
